"sezioni";"codici";"titoli_corti";"titoli";"l"
"A";"0111";"Colt. di cereali, legumi da granella";"Coltivazione di cereali (tranne il riso), legumi da granella e semi oleosi";4
"A";"0112";"Colt. del riso";"Coltivazione del riso";4
"A";"0113";"Colt. di ortaggi e meloni";"Coltivazione di ortaggi e meloni, radici e tuberi";4
"A";"0114";"Colt. di canna da zucchero";"Coltivazione di canna da zucchero";4
"A";"0115";"Colt. di tabacco";"Coltivazione di tabacco";4
"A";"0116";"Colt. di piante tessili";"Coltivazione di piante tessili";4
"A";"0119";"Colt. di altre colture non permanenti";"Coltivazione di altre colture non permanenti";4
"A";"0121";"Colt. di uva";"Coltivazione di uva";4
"A";"0122";"Colt. di frutta di origine tropicale";"Coltivazione di frutta di origine tropicale e subtropicale";4
"A";"0123";"Colt. di agrumi";"Coltivazione di agrumi";4
"A";"0124";"Colt. di pomacee e frutta a nocciolo";"Coltivazione di pomacee e frutta a nocciolo";4
"A";"0125";"Colt. di altri alberi da frutta";"Coltivazione di altri alberi da frutta, frutti di bosco e in guscio";4
"A";"0126";"Colt. di frutti oleosi";"Coltivazione di frutti oleosi";4
"A";"0127";"Colt. di piante per la prod. di bevande";"Coltivazione di piante per la produzione di bevande";4
"A";"0128";"Colt. di spezie, piante aromat. e farma.";"Coltivazione di spezie, piante aromatiche e farmaceutiche";4
"A";"0129";"Colt. di altre colture permanenti";"Coltivazione di altre colture permanenti";4
"A";"0130";"Riprod. delle piante";"Riproduzione delle piante";4
"A";"0141";"All. di bovini da latte";"Allevamento di bovini da latte";4
"A";"0142";"All. di altri bovini e di bufalini";"Allevamento di altri bovini e di bufalini";4
"A";"0143";"All. di cavalli e altri equini";"Allevamento di cavalli e altri equini";4
"A";"0144";"All. di cammelli e camelidi";"Allevamento di cammelli e camelidi";4
"A";"0145";"All. di ovini e caprini";"Allevamento di ovini e caprini";4
"A";"0146";"All. di suini";"Allevamento di suini";4
"A";"0147";"All. di pollame";"Allevamento di pollame";4
"A";"0149";"All. di altri animali";"Allevamento di altri animali";4
"A";"0150";"Colt. agr. ass. all'all. di animali";"Coltivazioni agricole associate all'allevamento di animali: attività mista";4
"A";"0161";"Att. di supporto alla prod. Vegetale";"Attività di supporto alla produzione vegetale";4
"A";"0162";"Att. di supporto alla prod. animale";"Attività di supporto alla produzione animale";4
"A";"0163";"Att. successive alla raccolta";"Attività successive alla raccolta";4
