"sezioni";"codici";"titoli_corti";"titoli";"l"
"A";"011100";"Colt. di cereali, legumi da granella";"Coltivazione di cereali (tranne il riso), legumi da granella e semi oleosi";6
"A";"011200";"Colt. del riso";"Coltivazione del riso";6
"A";"011300";"Colt. di ortaggi e meloni";"Coltivazione di ortaggi e meloni, radici e tuberi";6
"A";"011400";"Colt. di canna da zucchero";"Coltivazione di canna da zucchero";6
"A";"011500";"Colt. di tabacco";"Coltivazione di tabacco";6
"A";"011600";"Colt. di piante tessili";"Coltivazione di piante tessili";6
"A";"011900";"Colt. di altre colture non permanenti";"Coltivazione di altre colture non permanenti";6
"A";"012101";"Colt. di uva";"Coltivazione di uva";6
"A";"012102";"Viticoltura – Vinificazione";"Viticoltura – Vinificazione e Invecchiamento";6
"A";"012200";"Colt. di frutta di origine tropicale";"Coltivazione di frutta di origine tropicale e subtropicale";6
"A";"012300";"Colt. di agrumi";"Coltivazione di agrumi";6
"A";"012400";"Colt. di pomacee e frutta a nocciolo";"Coltivazione di pomacee e frutta a nocciolo";6
"A";"012500";"Colt. di altri alberi da frutta";"Coltivazione di altri alberi da frutta, frutti di bosco e in guscio";6
"A";"012600";"Colt. di frutti oleosi";"Coltivazione di frutti oleosi";6
"A";"012700";"Colt. di piante per la prod. di bevande";"Coltivazione di piante per la produzione di bevande";6
"A";"012800";"Colt. di spezie, piante aromat. e farma.";"Coltivazione di spezie, piante aromatiche e farmaceutiche";6
"A";"012900";"Colt. di altre colture permanenti";"Coltivazione di altre colture permanenti";6
"A";"013000";"Riprod. delle piante";"Riproduzione delle piante";6
"A";"014100";"All. di bovini da latte";"Allevamento di bovini da latte";6
"A";"014200";"All. di altri bovini e di bufalini";"Allevamento di altri bovini e di bufalini";6
"A";"014300";"All. di cavalli e altri equini";"Allevamento di cavalli e altri equini";6
"A";"014400";"All. di cammelli e camelidi";"Allevamento di cammelli e camelidi";6
"A";"014500";"All. di ovini e caprini";"Allevamento di ovini e caprini";6
"A";"014600";"All. di suini";"Allevamento di suini";6
"A";"014700";"All. di pollame";"Allevamento di pollame";6
"A";"014900";"All. di altri animali";"Allevamento di altri animali";6
"A";"015000";"Colt. agr. ass. all'all. di animali";"Coltivazioni agricole associate all'allevamento di animali: attività mista";6
"A";"016100";"Att. di supporto alla prod. Vegetale";"Attività di supporto alla produzione vegetale";6
"A";"016200";"Att. di supporto alla prod. animale";"Attività di supporto alla produzione animale";6
"A";"016300";"Att. successive alla raccolta";"Attività successive alla raccolta";6
"A";"016400";"Lav. delle sementi per la semina";"Lavorazione delle sementi per la semina";6
